Scorecard,ApprovalRate,BadRateApproved,PointSort
New scorecard,0.7065680621709701,0.03565726450239489,83
New scorecard,0.7147154675357232,0.03700455980357769,84
New scorecard,0.7228628729004763,0.03702098144615918,85
New scorecard,0.7310102782652294,0.03806584362139918,86
New scorecard,0.7391576836299825,0.038409360691877226,87
New scorecard,0.7473050889947356,0.039500167728950014,88
New scorecard,0.7554524943594886,0.04023560643769703,89
New scorecard,0.7635998997242417,0.04128365068942876,90
New scorecard,0.7717473050889947,0.04198473282442748,91
New scorecard,0.7798947104537478,0.043072966891674704,92
New scorecard,0.7880421158185009,0.04382058215365039,93
New scorecard,0.7961895211832539,0.04439546599496222,94
New scorecard,0.804336926548007,0.04472494935328035,95
New scorecard,0.81248433191276,0.045819191607528544,96
New scorecard,0.8206944096264728,0.04650630011454754,97
New scorecard,0.8288418149912259,0.047485822306238185,98
New scorecard,0.8369892203559789,0.04867090977162111,99
New scorecard,0.845136625720732,0.049981460882462,100
New scorecard,0.8532840310854851,0.050679397723099526,101
New scorecard,0.8614314364502381,0.051946162240814844,102
New scorecard,0.8695788418149912,0.052756756756756756,103
New scorecard,0.8777262471797443,0.05390931810067833,104
New scorecard,0.8858736525444973,0.05553590378493102,105
New scorecard,0.8940210579092505,0.05650192779530319,106
New scorecard,0.9021684632740035,0.05772837790899618,107
New scorecard,0.9103158686387566,0.059208261617900174,108
New scorecard,0.9184632740035097,0.06038894575230297,109
New scorecard,0.9266106793682627,0.06161650321271559,110
New scorecard,0.9347580847330158,0.06262152195776065,111
New scorecard,0.9429681624467285,0.06440249900305729,112
New scorecard,0.9511155678114815,0.06595940959409594,113
New scorecard,0.9592629731762347,0.06748987325231935,114
New scorecard,0.9674103785409878,0.06931847628919409,115
New scorecard,0.9755577839057408,0.07130926378003341,116
New scorecard,0.9837051892704939,0.07358562691131498,117
New scorecard,0.9918525946352469,0.07595096676355365,118
New scorecard,1.0,0.07959388317874154,119
Budget,0.05,0.04,0
Budget,0.07435897435897436,0.04,1
Budget,0.09871794871794873,0.04,2
Budget,0.12307692307692308,0.04,3
Budget,0.14743589743589744,0.04,4
Budget,0.1717948717948718,0.04,5
Budget,0.19615384615384618,0.04,6
Budget,0.2205128205128205,0.04,7
Budget,0.2448717948717949,0.04,8
Budget,0.2692307692307692,0.04,9
Budget,0.2935897435897436,0.04,10
Budget,0.31794871794871793,0.04,11
Budget,0.3423076923076923,0.04,12
Budget,0.36666666666666664,0.04,13
Budget,0.391025641025641,0.04,14
Budget,0.41538461538461535,0.04,15
Budget,0.43974358974358974,0.04,16
Budget,0.4641025641025641,0.04,17
Budget,0.48846153846153845,0.04,18
Budget,0.5128205128205129,0.04,19
Budget,0.5371794871794872,0.04,20
Budget,0.5615384615384615,0.04,21
Budget,0.5858974358974359,0.04,22
Budget,0.6102564102564103,0.04,23
Budget,0.6346153846153847,0.04,24
Budget,0.6589743589743591,0.04,25
Budget,0.6833333333333333,0.04,26
Budget,0.7076923076923077,0.04,27
Budget,0.7320512820512821,0.04,28
Budget,0.7564102564102565,0.04,29
Budget,0.7807692307692308,0.04,30
Budget,0.8051282051282052,0.04,31
Budget,0.8294871794871795,0.04,32
Budget,0.8538461538461539,0.04,33
Budget,0.8782051282051283,0.04,34
Budget,0.9025641025641026,0.04,35
Budget,0.926923076923077,0.04,36
Budget,0.9512820512820513,0.04,37
Budget,0.9756410256410257,0.04,38
Budget,1.0,0.04,39
